model_id,org,downloads,likes,tags,created_at,card_chars
John6666/diving-illustrious-real-asian-v50-sdxl,John6666,102700,0,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,realistic,photorealistic,photoreal,asian,illustrious,en,base_model:OnomaAIResearch/Illustrious-xl-early-release-v0,base_model:finetune:OnomaAIResearch/Illustrious-xl-early-release-v0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-09-19 23:33:09+00:00,189
black-forest-labs/FLUX.2-klein-base-4b-fp8,black-forest-labs,100131,51,"diffusion-single-file,text-to-image,image-editing,flux,image-to-image,en,license:apache-2.0,region:us",2026-01-14 22:32:41+00:00,7783
Laxhar/noobai-XL-1.1,Laxhar,96799,165,"diffusers,safetensors,Diffusers,Safetensors,not-for-all-audiences,text-to-image,en,base_model:Laxhar/noobai-XL-1.0,base_model:finetune:Laxhar/noobai-XL-1.0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2024-11-21 13:43:47+00:00,6404
John6666/janku-v5-nsfw-trained-noobai-rou-wei-illustrious-xl-v50-sdxl,John6666,91777,16,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,not-for-all-audiences,anime,hentai,nai,girls,better eyes,brightness,contrast,better shade lightning,brighter colors,shiny hair with particles,shiny eyes,sharper lines,characters,artists,trained,merge,rouwei,noobai,illustrious,en,base_model:Laxhar/noobai-XL-1.1,base_model:merge:Laxhar/noobai-XL-1.1,base_model:Minthy/RouWei-0.8,base_model:merge:Minthy/RouWei-0.8,base_model:OnomaAIResearch/Illustrious-xl-early-release-v0,base_model:merge:OnomaAIResearch/Illustrious-xl-early-release-v0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-08-31 00:44:06+00:00,203
T5B/Z-Image-Turbo-FP8,T5B,91536,173,"diffusers,text-to-image,en,base_model:Tongyi-MAI/Z-Image-Turbo,base_model:quantized:Tongyi-MAI/Z-Image-Turbo,license:apache-2.0,region:us",2025-11-26 20:43:17+00:00,381
lightx2v/Qwen-Image-2512-Lightning,lightx2v,89730,228,"diffusers,diffusion-single-file,comfyui,distillation,LoRA,lora,Qwen-Image,text-to-image,base_model:Qwen/Qwen-Image-2512,base_model:adapter:Qwen/Qwen-Image-2512,license:apache-2.0,region:us",2025-12-31 12:13:41+00:00,774
cyberdelia/CyberRealistic,cyberdelia,89212,95,"diffusers,stable-diffusion,sd-1.5,text-to-image,photorealistic,cyberrealistic,image-generation,license:creativeml-openrail-m,region:us",2023-05-28 11:25:45+00:00,3002
latent-consistency/lcm-lora-sdv1-5,latent-consistency,87720,533,"diffusers,lora,text-to-image,arxiv:2311.05556,base_model:runwayml/stable-diffusion-v1-5,base_model:adapter:runwayml/stable-diffusion-v1-5,license:openrail++,region:us",2023-11-07 11:20:24+00:00,7070
HiDream-ai/HiDream-I1-Fast,HiDream-ai,85611,107,"diffusers,safetensors,image-generation,HiDream.ai,text-to-image,en,arxiv:2505.22705,license:mit,diffusers:HiDreamImagePipeline,region:us",2025-04-06 14:18:51+00:00,7165
ByteDance/SDXL-Lightning,ByteDance,84371,2185,"diffusers,text-to-image,stable-diffusion,arxiv:2402.13929,license:openrail++,region:us",2024-02-20 20:03:33+00:00,6417
Omnico/Krea2_turbo_diff_loras,Omnico,80765,41,"diffusers,text-to-image,lora,template:diffusion-lora,base_model:krea/Krea-2-Turbo,base_model:adapter:krea/Krea-2-Turbo,region:us",2026-08-01 13:23:43+00:00,982
diffusers/stable-diffusion-xl-1.0-inpainting-0.1,diffusers,79974,383,"diffusers,safetensors,stable-diffusion-xl,stable-diffusion-xl-diffusers,text-to-image,inpainting,arxiv:2112.10752,base_model:stabilityai/stable-diffusion-xl-base-1.0,base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0,license:openrail++,diffusers:StableDiffusionXLInpaintPipeline,region:us",2023-09-01 14:07:10+00:00,4657
lopi999/Wan2.2-I2V_General-NSFW-LoRA,lopi999,78967,110,"diffusers,text-to-image,lora,template:diffusion-lora,base_model:Wan-AI/Wan2.2-I2V-A14B,base_model:adapter:Wan-AI/Wan2.2-I2V-A14B,region:us,not-for-all-audiences",2025-09-17 03:01:26+00:00,335
stabilityai/stable-diffusion-3.5-large,stabilityai,74398,3777,"diffusers,safetensors,text-to-image,stable-diffusion,en,arxiv:2403.03206,license:other,diffusers:StableDiffusion3Pipeline,region:us",2024-10-22 07:29:57+00:00,9362
